# HOMER Peaks
# Peak finding parameters:
# tag directory = H3K9me2_wt_1.dir/
#
# total peaks = 30
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 156
# genome size = 12631355
# Total tags = 6929915.0
# Total tags in peaks = 1960812.0
# Approximate IP efficiency = 28.29%
# tags per bp = 0.548621
# expected tags per peak = 274.311
# maximum tags considered per bp = 54.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 328.0
# number of putative peaks = 2361
#
# input tag directory = IN_wt_1.dir/
# Fold over input required = 2.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks H3K9me2_wt_1.dir/ -i IN_wt_1.dir/ -style histone -F 2 -o H3K9me2_wt_1.histone.F2.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Clonal Fold Change
III-694	III	1106153	1142352	+	465737.3	36199.000	621.000000	284694.7	24061.0	11.83	0.00e+00	0.51
III-699	III	1068976	1092856	+	330060.3	23880.000	560.000000	201758.5	17455.0	11.56	0.00e+00	0.50
I-738	I	5529713	5579133	+	318687.9	49420.000	481.000000	194806.7	21415.0	9.10	0.00e+00	0.51
II-368	II	1602086	1618651	+	222688.2	16565.000	1223.000000	136124.3	12620.0	10.79	0.00e+00	0.48
II-535	II	4513458	4536170	+	183047.0	22712.000	666.000000	111892.5	19507.0	5.74	0.00e+00	0.51
II-562	II	1629725	1644220	+	174246.0	14495.000	557.000000	106512.7	9947.0	10.71	0.00e+00	0.51
I-204	I	75	22006	+	168573.5	21931.000	3264.000000	103045.2	13252.0	7.78	0.00e+00	0.57
I-742	I	3776760	3790912	+	147535.7	14152.000	436.000000	90185.3	9096.0	9.91	0.00e+00	0.52
I-739	I	3752177	3765505	+	133010.3	13328.000	473.000000	81306.2	8329.0	9.76	0.00e+00	0.52
III-58	III	5890	9224	+	115171.7	3334.000	12041.000000	70401.9	34922.0	2.02	0.00e+00	0.50
III-56	III	16760	19686	+	101572.7	2926.000	12049.000000	62089.1	30386.0	2.04	0.00e+00	0.50
III-23	III	2448193	2449665	+	60798.7	1472.000	13140.000000	37164.9	17626.0	2.11	0.00e+00	0.49
III-40	III	14463	15915	+	52160.8	1452.000	12402.000000	31884.7	14983.0	2.13	0.00e+00	0.49
III-42	III	3597	5046	+	51448.0	1449.000	12337.000000	31449.0	15135.0	2.08	0.00e+00	0.49
III-22	III	21290	23092	+	49085.7	1802.000	13156.000000	30005.0	13978.0	2.15	0.00e+00	0.50
III-54	III	2446406	2447473	+	39247.2	1067.000	12129.000000	23991.0	11431.0	2.10	0.00e+00	0.50
III-20	III	10428	11678	+	37294.8	1250.000	13230.000000	22797.5	10565.0	2.16	0.00e+00	0.50
III-154	III	2441708	2442835	+	36108.7	1127.000	9216.000000	22072.4	10070.0	2.19	0.00e+00	0.49
III-165	III	1	1271	+	27838.7	1270.000	8650.000000	17017.2	8014.0	2.12	0.00e+00	0.55
II-598	II	4496991	4507680	+	25577.5	10689.000	441.000000	15635.0	4552.0	3.43	0.00e+00	0.64
II-634	II	5092	15998	+	25514.0	10906.000	386.000000	15596.1	4739.0	3.29	0.00e+00	0.63
MTR-22	MTR	9165	13497	+	22086.9	4332.000	763.000000	13501.2	1111.0	12.15	0.00e+00	1.02
I-734	I	28430	35649	+	14513.9	7219.000	528.000000	8872.0	2903.0	3.06	0.00e+00	0.66
II-611	II	2129597	2136780	+	9368.1	7183.000	424.000000	5726.5	1808.0	3.17	0.00e+00	0.61
MTR-28	MTR	15548	19886	+	5585.9	4338.000	562.000000	3414.6	1064.0	3.21	0.00e+00	0.63
MTR-57	MTR	356	3356	+	4039.0	3000.000	416.000000	2469.0	672.0	3.67	0.00e+00	0.63
II-661	II	76126	77583	+	3831.2	1457.000	339.000000	2341.9	550.0	4.26	0.00e+00	0.59
I-741	I	59545	60550	+	2271.3	1005.000	457.000000	1388.4	409.0	3.39	6.18e-314	0.67
II-666	II	2113967	2115242	+	1774.9	1275.000	336.000000	1085.0	411.0	2.64	1.01e-166	0.62
II-609	II	2338951	2339451	+	613.3	500.000	429.000000	374.9	182.0	2.06	9.98e-36	0.63
